cross_over_date_strong,Name,mov2,mov1
2021-04-07,BALKRISIND,20.0,50.0
2021-09-03,BALKRISIND,20.0,50.0
2021-05-18,BALLARPUR,20,50
2021-03-04,BALMLAWRIE,20.0,50.0
2021-05-20,BALMLAWRIE,20.0,50.0
2021-09-17,BALMLAWRIE,20.0,50.0
2021-01-07,BALPHARMA,20.0,50.0
2021-03-15,BALPHARMA,20.0,50.0
2021-08-13,BALPHARMA,20.0,50.0
2021-09-15,BALPHARMA,20.0,50.0
2021-03-02,BALRAMCHIN,20,50
2020-12-30,BANARBEADS,20.0,50.0
2021-05-21,BANARBEADS,20.0,50.0
2021-05-04,BANARISUG,20.0,50.0
2021-07-27,BANARISUG,20.0,50.0
2021-09-17,BANARISUG,20.0,50.0
2021-05-05,BANCOINDIA,20.0,50.0
2021-08-18,BANCOINDIA,20.0,50.0
2021-03-23,BANDHANBNK,20.0,50.0
2021-06-17,BANDHANBNK,20.0,50.0
2021-03-10,BANG,20.0,50.0
2021-05-17,BANG,20.0,50.0
2021-05-12,BANKA,20.0,50.0
2021-08-09,BANKA,20.0,50.0
2021-09-02,BANKA,20.0,50.0
2021-05-20,BANKBARODA,20,50
2021-05-19,BANKINDIA,20,50
2021-03-16,BANSWRAS,20.0,50.0
2021-05-12,BANSWRAS,20.0,50.0
,BARBEQUE,20,50
2020-12-10,BARTRONICS,20.0,50.0
2021-05-24,BARTRONICS,20.0,50.0
2021-02-10,BASF,20.0,50.0
2021-05-04,BASF,20.0,50.0
2021-05-10,BASML,20.0,50.0
2021-07-14,BASML,20.0,50.0
2021-05-24,BATAINDIA,20,50
2020-12-29,BAYERCROP,20.0,50.0
2021-04-26,BAYERCROP,20.0,50.0
2021-04-27,BBL,20.0,50.0
2021-09-07,BBL,20.0,50.0
2021-05-18,BBTC,20,50
2020-12-22,BCG,20.0,50.0
2021-05-28,BCG,20.0,50.0
,BCLIND,20,50
2021-05-25,BCP,20,50
2021-05-21,BDL,20,50
2021-03-04,BEARDSELL,20,50
2021-05-11,BECTORFOOD,20,50
2021-04-23,BEDMUTHA,20,50
2021-05-11,BEL,20,50
2021-05-25,BEML,20.0,50.0
2021-09-03,BEML,20.0,50.0
2021-03-17,BEPL,20.0,50.0
2021-08-30,BEPL,20.0,50.0
2021-04-01,BERGEPAINT,20.0,50.0
2021-05-17,BERGEPAINT,20.0,50.0
2021-07-01,BESTAGRO,20,50
2021-03-04,BFINVEST,20.0,50.0
2021-05-06,BFINVEST,20.0,50.0
2021-05-10,BFUTILITIE,20,50
2021-03-05,BGRENERGY,20.0,50.0
2021-04-26,BGRENERGY,20.0,50.0
2021-05-06,BHAGERIA,20,50
2021-08-16,BHAGYANGR,20.0,50.0
2021-08-24,BHAGYANGR,20.0,50.0
2021-09-01,BHAGYANGR,20.0,50.0
2020-12-14,BHAGYAPROP,20.0,50.0
2021-05-31,BHAGYAPROP,20.0,50.0
2021-06-28,BHAGYAPROP,20.0,50.0
2021-05-17,BHANDARI,20,50
2021-05-06,BHARATFORG,20,50
2021-02-24,BHARATGEAR,20.0,50.0
2021-04-09,BHARATGEAR,20.0,50.0
2021-05-06,BHARATGEAR,20.0,50.0
2021-04-27,BHARATRAS,20,50
,BHARATWIRE,20,50
2021-05-05,BHARTIARTL,20.0,50.0
2021-07-23,BHARTIARTL,20.0,50.0
2021-05-05,BHEL,20,50
2021-02-22,BIGBLOC,20.0,50.0
2021-03-25,BIGBLOC,20.0,50.0
2021-06-08,BIGBLOC,20.0,50.0
2020-12-09,BIL,20.0,50.0
2021-02-09,BIL,20.0,50.0
2021-03-22,BIL,20.0,50.0
2021-04-05,BINDALAGRO,20.0,50.0
2021-05-19,BINDALAGRO,20.0,50.0
2020-12-09,BIOCON,20.0,50.0
2021-04-05,BIOCON,20.0,50.0
2021-06-14,BIOCON,20.0,50.0
2021-07-15,BIOFILCHEM,20,50
2021-03-15,BIRLACABLE,20.0,50.0
2021-05-17,BIRLACABLE,20.0,50.0
2021-02-02,BIRLACORPN,20,50
2020-12-24,BIRLAMONEY,20.0,50.0
2021-05-12,BIRLAMONEY,20.0,50.0
2021-05-19,BIRLATYRE,20,50
2021-05-27,BKMINDST,20,50
2020-12-10,BLBLIMITED,20.0,50.0
2021-03-03,BLBLIMITED,20.0,50.0
2021-05-19,BLBLIMITED,20.0,50.0
2020-12-08,BLISSGVS,20.0,50.0
2021-08-02,BLISSGVS,20.0,50.0
2021-05-31,BLKASHYAP,20,50
2020-12-04,BLS,20.0,50.0
2021-05-21,BLS,20.0,50.0
,BLUECOAST,20,50
2021-09-01,BLUEDART,20,50
2021-02-11,BLUESTARCO,20.0,50.0
2021-07-06,BLUESTARCO,20.0,50.0
2021-03-03,BODALCHEM,20,50
2021-03-04,BOMDYEING,20.0,50.0
2021-05-21,BOMDYEING,20.0,50.0
2021-04-26,BOROLTD,20,50
2021-05-18,BORORENEW,20,50
2021-05-20,BOSCHLTD,20,50
2021-05-17,BPCL,20.0,50.0
2021-08-30,BPCL,20.0,50.0
2021-03-04,BPL,20.0,50.0
2021-04-22,BPL,20.0,50.0
2021-09-02,BPL,20.0,50.0
2021-06-10,BRFL,20,50
2021-05-27,BRIGADE,20,50
2020-12-11,BRITANNIA,20.0,50.0
2021-03-30,BRITANNIA,20.0,50.0
2021-06-18,BRITANNIA,20.0,50.0
2021-08-13,BRITANNIA,20.0,50.0
2021-06-01,BRNL,20,50
2021-04-08,BROOKS,20.0,50.0
2021-08-06,BROOKS,20.0,50.0
2021-04-22,BSE,20,50
2020-12-16,BSELINFRA,20.0,50.0
2021-05-19,BSELINFRA,20.0,50.0
2021-03-10,BSL,20.0,50.0
2021-09-07,BSL,20.0,50.0
2020-12-09,BSOFT,20.0,50.0
2021-03-31,BSOFT,20.0,50.0
2021-05-21,BURGERKING,20.0,50.0
2021-08-27,BURGERKING,20.0,50.0
2021-04-16,BUTTERFLY,20.0,50.0
2021-08-03,BUTTERFLY,20.0,50.0
2021-09-06,BUTTERFLY,20.0,50.0
2021-02-17,BVCL,20.0,50.0
2021-05-12,BVCL,20.0,50.0
2021-08-04,BVCL,20.0,50.0
2021-03-08,BYKE,20.0,50.0
2021-05-21,BYKE,20.0,50.0
2021-04-09,CADILAHC,20,50
2021-05-20,CALSOFT,20.0,50.0
2021-08-02,CALSOFT,20.0,50.0
2021-02-26,CAMLINFINE,20,50
2021-04-16,CAMS,20,50
2021-05-24,CANBK,20.0,50.0
2021-08-12,CANBK,20.0,50.0
2021-06-08,CANDC,20,50
2021-03-09,CANFINHOME,20.0,50.0
2021-07-15,CANFINHOME,20.0,50.0
2021-08-31,CANFINHOME,20.0,50.0
2021-03-01,CANTABIL,20.0,50.0
2021-04-01,CANTABIL,20.0,50.0
2021-05-31,CANTABIL,20.0,50.0
2021-09-14,CANTABIL,20.0,50.0
2021-02-09,CAPACITE,20.0,50.0
2021-05-25,CAPACITE,20.0,50.0
2020-12-28,CAPLIPOINT,20.0,50.0
2021-04-20,CAPLIPOINT,20.0,50.0
